segmentId,newSegmentId,frc,streetName,speedLimit,distance,averageSpeed,date,time,timeSet,dateRange,harmonicAverageSpeed,medianSpeed,standardDeviationSpeed,shape,travelTimeStandardDeviation,sampleSize,averageTravelTime,medianTravelTime,travelTimeRatio,speedPercentiles,hour,POI
-1.46E+13,-00004d59-3500-0400-0000-00000185433b,1,Jalan Tun Abdul Razak,50,99.01,74.4,2024/8/10,8,2,1,69.6,76.4,14.8,"[{'latitude': 1.47389, 'longitude': 103.75523}, {'latitude': 1.47342, 'longitude': 103.75545}, {'latitude': 1.47308, 'longitude': 103.75561}]",2.48,9322,5.12,4.67,1,"[45, 55, 61, 65, 68, 70, 72, 74, 75, 76, 78, 79, 81, 82, 84, 85, 87, 90, 95]",8,36
-1.46E+13,-00004d59-3500-0400-0000-000001854eba,4,Jalan Kebun Teh Lama,50,88.76,51.6,2024/8/8,19,2,1,48.9,51.6,10.3,"[{'latitude': 1.4823, 'longitude': 103.75415}, {'latitude': 1.48211, 'longitude': 103.75423}, {'latitude': 1.48202, 'longitude': 103.75426}, {'latitude': 1.48193, 'longitude': 103.75429}, {'latitude': 1.48183, 'longitude': 103.75431}, {'latitude': 1.48172, 'longitude': 103.75433}, {'latitude': 1.48153, 'longitude': 103.75436}]",2.29,7326,6.53,6.19,1,"[35, 40, 43, 45, 46, 47, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 61, 64, 70]",19,36
-1.46E+13,-00004d59-3500-0400-0000-000001854ee4,4,Jalan Kebun Teh Lama,50,23.69,50.9,2024/8/8,18,2,1,48.3,51.1,10.2,"[{'latitude': 1.48153, 'longitude': 103.75436}, {'latitude': 1.48131, 'longitude': 103.75439}]",0.52,7399,1.77,1.67,1,"[33, 38, 41, 43, 45, 47, 48, 49, 50, 51, 52, 53, 55, 56, 57, 59, 61, 63, 67]",18,35
-1.46E+13,-00004d59-3500-0400-0000-000001854ee8,4,Jalan Kebun Teh Lama,50,20.06,51.5,2024/8/9,20,2,1,48.5,51.8,10.3,"[{'latitude': 1.48102, 'longitude': 103.75442}, {'latitude': 1.48084, 'longitude': 103.75444}]",0.58,7429,1.49,1.39,1,"[34, 39, 42, 44, 46, 47, 49, 50, 51, 52, 53, 54, 55, 57, 58, 59, 61, 63, 67]",20,32
-1.46E+13,-00004d59-3500-0400-0000-000001854ee9,4,Jalan Kebun Teh Lama,50,32.68,50.8,2024/8/9,18,2,1,48.2,51.3,10,"[{'latitude': 1.48131, 'longitude': 103.75439}, {'latitude': 1.48116, 'longitude': 103.75441}, {'latitude': 1.48102, 'longitude': 103.75442}]",0.79,7412,2.44,2.29,1,"[34, 39, 42, 44, 45, 47, 48, 49, 50, 51, 52, 53, 55, 56, 57, 58, 60, 63, 66]",18,34
-1.46E+13,-00004d59-3500-0400-0000-000001854ef7,4,Jalan Kebun Teh Lama,50,37.35,45.8,2024/8/9,19,2,1,39.5,46.5,12.8,"[{'latitude': 1.48049, 'longitude': 103.75442}, {'latitude': 1.48062, 'longitude': 103.7544}, {'latitude': 1.48083, 'longitude': 103.75439}]",3.08,7629,3.41,2.89,1,"[22, 29, 34, 37, 39, 41, 42, 44, 45, 47, 48, 49, 50, 52, 53, 55, 58, 61, 66]",19,32
-1.46E+13,-00004d59-3500-0400-0000-000001854f64,4,Jalan Kebun Teh Lama,50,57.46,32.1,2024/8/9,8,2,1,27.7,32,9.8,"[{'latitude': 1.47767, 'longitude': 103.75363}, {'latitude': 1.47781, 'longitude': 103.75374}, {'latitude': 1.47788, 'longitude': 103.7538}, {'latitude': 1.47808, 'longitude': 103.75395}]",6.9,7622,7.46,6.46,1,"[17, 20, 23, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39, 41, 43, 48]",8,33
-1.46E+13,-00004d59-3500-0400-0000-00000185512b,3,Jalan Lingkaran Dalam,70,86.41,45.8,2024/8/11,7,2,1,39.9,46.6,13.1,"[{'latitude': 1.47377, 'longitude': 103.75799}, {'latitude': 1.47369, 'longitude': 103.75793}, {'latitude': 1.47358, 'longitude': 103.75768}, {'latitude': 1.47355, 'longitude': 103.7576}, {'latitude': 1.4734, 'longitude': 103.75731}]",4.66,33305,7.8,6.68,1,"[23, 29, 33, 36, 38, 40, 42, 44, 45, 47, 48, 49, 51, 52, 54, 56, 58, 61, 66]",7,37
-1.46E+13,-00004d59-3500-0400-0000-00000185515a,5,Jalan Kuning,30,36.67,23.5,2024/8/11,9,2,1,18.9,23.5,8.4,"[{'latitude': 1.48181, 'longitude': 103.7753}, {'latitude': 1.4818, 'longitude': 103.7753}, {'latitude': 1.48148, 'longitude': 103.77529}]",6.76,2601,6.98,5.62,1,"[10, 14, 16, 17, 19, 20, 21, 22, 23, 24, 24, 25, 26, 27, 28, 29, 31, 33, 37]",9,22
-1.46E+13,-00004d59-3500-0400-0000-00000185515d,5,Jalan Kuning,30,20.73,23.8,2024/8/11,13,2,1,16.1,23.8,10.9,"[{'latitude': 1.482, 'longitude': 103.7753}, {'latitude': 1.48181, 'longitude': 103.7753}]",6.07,2815,4.64,3.14,1,"[6, 9, 12, 14, 16, 18, 19, 21, 22, 24, 25, 27, 28, 30, 31, 33, 35, 37, 42]",13,23
